,user_id,user_country,sex,height,weight,started,birth,ascent_id,grade_id,method_id,description,climb_type,date,year,name,crag,sector_id,sector,country,rating,user_recommended,score,fra_routes
23751,63315,PRT,1,166,53,2015,1991-01-29,4579219,46,1,,0,1483743600,2017,Mango e meio,Meio mango,694,Poças,PRT,3,1,650,6c+
23752,63315,PRT,1,166,53,2015,1991-01-29,4587023,46,1,,0,1484434800,2017,Limpógu,Fenda,1950,Carallon,PRT,0,0,650,6c+
23754,63464,PRT,0,177,73,2016,,4729358,46,1,,0,1494712800,2017,Limpógu,Fenda,1950,Carallon,PRT,0,0,650,6c+
23756,63464,PRT,0,177,73,2016,,4901373,46,1,,0,1504476000,2017,Intuição primária,Guia,904,Farol,PRT,3,0,650,6c+
23757,63681,PRT,0,179,68,2010,1971-08-27,4393523,46,1,,0,1450479600,2015,Limpó gu,Fenda,1950,Carallon,PRT,3,0,650,6c+
23758,63681,PRT,0,179,68,2010,1971-08-27,4504058,46,1,,0,1477868400,2016,Levitaçao,Guia,461,Degraus,PRT,0,0,650,6c+
23759,63681,PRT,0,179,68,2010,1971-08-27,4809216,46,3,,0,1499464800,2017,Intuição primária,Guia,904,Farol,PRT,2,0,650,6c+
23768,165,PRT,0,172,58,2000,1975-12-28,338606,49,4,,0,1121724000,2005,Kamikaze,Guia,0,,PRT,0,0,700,7a
23776,408,PRT,0,172,63,2001,1985-09-08,9834,49,1,,0,991605600,2001,Spuf,Fenda,427,Carallon,PRT,2,0,700,7a
23777,408,PRT,0,172,63,2001,1985-09-08,18380,49,1,,0,994111200,2001,Striptease,Guia,0,,PRT,3,0,700,7a
23787,408,PRT,0,172,63,2001,1985-09-08,115401,49,2,,0,1050530400,2003,Inércia na aresta,Guia,0,,PRT,2,0,700,7a
23793,408,PRT,0,172,63,2001,1985-09-08,1407084,49,3,,0,1254348000,2009,Solário,Meio mango,0,Poças,PRT,2,0,700,7a
23798,408,PRT,0,172,63,2001,1985-09-08,1524597,49,3,,0,1267916400,2010,Regresso do baubau,Meio mango,1966,Baía,PRT,3,0,700,7a
23804,408,PRT,0,172,63,2001,1985-09-08,2162755,49,3,,0,1308952800,2011,Histórias de terror,Meio mango,0,,PRT,3,0,700,7a
23812,1331,PRT,0,182,73,2000,1977-04-08,3474809,49,1,,0,1408831200,2014,Via láctea,Guia,461,Degraus,PRT,2,0,700,7a
23813,1331,PRT,0,182,73,2000,1977-04-08,3483094,49,3,,0,1409349600,2014,Festa da laranja,Azoia,642,Cova mijona,PRT,3,0,700,7a
23814,1331,PRT,0,182,73,2000,1977-04-08,3522294,49,3,,0,1411768800,2014,Rampião,Fenda,810,Crocodilos,PRT,3,0,700,7a
23815,1331,PRT,0,182,73,2000,1977-04-08,3599332,49,1,,0,1416697200,2014,A berta por baixo e por cima,Azoia,642,Cova mijona,PRT,2,0,700,7a
23819,1331,PRT,0,182,73,2000,1977-04-08,3697421,49,1,,0,1425682800,2015,Spuf,Fenda,427,Carallon,PRT,3,0,700,7a
23821,1331,PRT,0,182,73,2000,1977-04-08,4194389,49,2,,0,1458860400,2016,Solário,Meio mango,694,Poças,PRT,3,0,700,7a
23823,1816,ESP,0,0,0,2000,,1198325,49,1,,0,1238796000,2009,Spuf,Fenda,427,Carallon,PRT,2,0,700,7a
23824,1816,ESP,0,0,0,2000,,1200835,49,2,,0,1239141600,2009,Um bocadinho da praia,Fenda,427,Carallon,PRT,3,0,700,7a
23829,2311,BRA,0,183,73,1995,1974-06-24,4762939,49,3,,0,1496613600,2017,Um bocadinho da praia,Fenda,427,Carallon,PRT,0,0,700,7a
23830,2357,PRT,0,175,68,2001,1978-06-05,61851,49,1,,0,1009839600,2002,Levitação,Guia,0,Escadas,PRT,0,0,700,7a
23831,2357,PRT,0,175,68,2001,1978-06-05,61852,49,1,,0,1009839600,2002,Assusta mas não custa,Guia,0,,PRT,0,0,700,7a
23832,2357,PRT,0,175,68,2001,1978-06-05,103865,49,1,,0,1044054000,2003,Levitacao,Guia,0,,PRT,0,0,700,7a
23833,2357,PRT,0,175,68,2001,1978-06-05,103866,49,1,,0,1044054000,2003,Assusta mas não custa,Guia,0,,PRT,0,0,700,7a
23834,2357,PRT,0,175,68,2001,1978-06-05,103867,49,1,,0,1044054000,2003,Spuf,Fenda,427,Carallon,PRT,0,0,700,7a
23912,2688,PRT,0,0,0,2000,,1180320,49,3,,0,1237417200,2009,Solário,Meio mango,694,Poças,PRT,0,0,700,7a
23922,3122,ESP,0,183,73,2000,1976-12-10,147900,49,3,,0,1061416800,2003,Spuf,Fenda,427,Carallon,PRT,2,0,700,7a
23923,3150,ESP,0,172,68,1995,1970-08-27,760058,49,1,,0,1189807200,2007,Spuf,Fenda,427,Carallon,PRT,2,0,700,7a
23931,4275,ESP,0,176,68,2000,1974-09-11,4687360,49,1,,0,1492466400,2017,Spuf,Fenda,427,Carallon,PRT,2,0,700,7a
23934,4674,PRT,0,173,63,2000,1977-04-20,154396,49,1,,0,1050703200,2003,Via láctea,Guia,461,Degraus,PRT,0,0,700,7a
23935,4674,PRT,0,173,63,2000,1977-04-20,154399,49,1,,0,1016319600,2002,Levitação,Guia,0,,PRT,3,0,700,7a
23936,4674,PRT,0,173,63,2000,1977-04-20,154400,49,1,,0,1020463200,2002,Spuf,Fenda,427,Carallon,PRT,0,0,700,7a
23940,4674,PRT,0,173,63,2000,1977-04-20,306928,49,1,,0,1114380000,2005,Spuf,Fenda,427,Carallon,PRT,2,0,700,7a
23941,4674,PRT,0,173,63,2000,1977-04-20,311811,49,2,,0,1115503200,2005,Um bocadinho da praia dalai lama,Fenda,427,Carallon,PRT,1,0,700,7a
23942,4674,PRT,0,173,63,2000,1977-04-20,314390,49,2,,0,1116108000,2005,Condomínio fechado,Azoia,0,Condominio Fechado,PRT,1,0,700,7a
